iter	Passed	Remaining
0	135	135550
1	137	68473
2	138	45964
3	138	34557
4	139	27715
5	139	23155
6	140	19897
7	140	17454
8	141	15555
9	141	14029
10	142	12784
11	142	11748
12	143	10870
13	143	10116
14	144	9463
15	144	8891
16	145	8386
17	145	7937
18	145	7535
19	146	7174
20	146	6848
21	147	6551
22	147	6283
23	148	6035
24	148	5808
25	149	5598
26	149	5404
27	150	5231
28	151	5064
29	151	4906
30	152	4761
31	152	4622
32	153	4493
33	153	4370
34	154	4254
35	154	4144
36	155	4039
37	155	3941
38	156	3849
39	156	3761
40	157	3677
41	157	3597
42	158	3520
43	158	3447
44	159	3377
45	159	3309
46	160	3245
47	160	3184
48	161	3125
49	161	3068
50	161	3013
51	162	2963
52	163	2913
53	163	2866
54	164	2819
55	164	2774
56	165	2730
57	165	2688
58	166	2647
59	166	2607
60	166	2570
61	167	2533
62	167	2497
63	168	2462
64	168	2429
65	169	2396
66	169	2364
67	170	2330
68	170	2300
69	170	2271
70	171	2242
71	171	2215
72	172	2188
73	172	2162
74	173	2137
75	173	2113
76	174	2089
77	174	2065
78	175	2042
79	175	2020
80	176	1998
81	176	1979
82	177	1958
83	177	1938
84	178	1917
85	178	1898
86	178	1877
87	179	1859
88	179	1841
89	180	1823
90	180	1806
91	181	1789
92	181	1773
93	182	1757
94	182	1741
95	183	1725
96	183	1710
97	184	1695
98	184	1681
99	185	1666
100	185	1653
101	186	1638
102	186	1625
103	187	1611
104	187	1599
105	188	1586
106	188	1574
107	189	1561
108	189	1550
109	190	1538
110	190	1526
111	191	1516
112	191	1505
113	192	1494
114	192	1483
115	193	1473
116	193	1463
117	194	1453
118	194	1442
119	195	1432
120	195	1422
121	196	1413
122	196	1402
123	197	1393
124	197	1384
125	198	1375
126	198	1366
127	199	1356
128	199	1348
129	200	1340
130	200	1332
131	201	1324
132	201	1316
133	202	1308
134	203	1300
135	203	1293
136	204	1285
137	204	1277
138	205	1269
139	205	1263
140	206	1256
141	206	1249
142	207	1241
143	207	1235
144	208	1228
145	208	1221
146	209	1214
147	209	1207
148	210	1201
149	210	1195
150	211	1188
151	212	1183
152	212	1176
153	213	1170
154	213	1164
155	214	1158
156	214	1152
157	215	1146
158	215	1141
159	216	1135
160	216	1130
161	217	1124
162	217	1119
163	218	1113
164	219	1108
165	219	1103
166	220	1098
167	220	1093
168	221	1087
169	221	1082
170	222	1077
171	222	1072
172	223	1067
173	223	1063
174	224	1058
175	225	1053
176	225	1049
177	226	1044
178	226	1039
179	227	1035
180	227	1029
181	228	1025
182	228	1020
183	229	1016
184	229	1011
185	230	1007
186	230	1003
187	231	999
188	231	994
189	232	990
190	233	986
191	233	983
192	234	979
193	234	975
194	235	971
195	235	967
196	236	964
197	237	960
198	237	956
199	238	952
200	238	949
201	239	945
202	239	941
203	240	938
204	241	935
205	241	931
206	242	928
207	242	925
208	243	921
209	244	918
210	244	914
211	245	911
212	245	907
213	246	904
214	246	901
215	247	898
216	248	894
217	248	891
218	249	888
219	249	885
220	250	882
221	250	879
222	251	876
223	252	873
224	252	870
225	253	867
226	253	863
227	254	860
228	254	857
229	255	854
230	255	851
231	256	848
232	256	845
233	257	842
234	258	839
235	258	836
236	259	834
237	259	831
238	260	828
239	260	825
240	261	823
241	261	820
242	262	817
243	263	815
244	263	812
245	264	809
246	264	807
247	265	804
248	265	801
249	266	798
250	266	796
251	267	793
252	267	790
253	268	788
254	268	785
255	269	782
256	269	780
257	270	777
258	270	775
259	271	772
260	271	770
261	272	767
262	273	765
263	273	762
264	274	760
265	274	757
266	275	755
267	275	753
268	276	750
269	276	748
270	277	746
271	278	744
272	278	741
273	279	739
274	279	737
275	280	735
276	280	733
277	281	730
278	281	728
279	282	726
280	282	724
281	283	721
282	284	719
283	284	717
284	285	715
285	285	713
286	286	711
287	286	709
288	287	707
289	288	705
290	288	703
291	289	701
292	289	699
293	290	697
294	290	695
295	291	693
296	292	691
297	292	689
298	293	687
299	293	685
300	294	683
301	295	681
302	295	680
303	296	678
304	296	676
305	297	674
306	297	672
307	298	670
308	298	668
309	299	666
310	300	664
311	300	662
312	301	661
313	301	659
314	302	657
315	302	655
316	303	653
317	303	651
